Origin,Artist_Name,Artwork_Name,Year
None,Adolph de Meyer,Aida,1912
None,Adolph de Meyer,From the Shores of the Bosphorus,1912
None,Adolph de Meyer,The Cup,1912
None,Adolph de Meyer,The Nymphenburg Figure,1912
None,Adolph de Meyer,The Silver Cap,1912
None,Adolph de Meyer,A Street in China,1912
None,Adolph de Meyer,Aida,1912
None,Adolph de Meyer,From the Shores of the Bosphorus,1912
None,Adolph de Meyer,The Cup,1912
None,Adolph de Meyer,The Nymphenburg Figure,1912
None,Adolph de Meyer,The Silver Cap,1912
None,Adolph de Meyer,Mae Murray,1918
None,Adolph de Meyer,Mae Murray,1918
None,Adolph de Meyer,Ann Andrews,1919
None,Adolph de Meyer,Ann Andrews,1919
None,Adolph de Meyer,Charlie Chaplin,1921
None,Adolph de Meyer,Claude Monet,1921
None,Adolph de Meyer,Charlie Chaplin,1921
None,Adolph de Meyer,Claude Monet,1921
None,Adolph de Meyer,Portrait of Josephine Baker,1925
None,Adolph de Meyer,Portrait of Josephine Baker,1925
None,Adolph de Meyer,Advertisement for Elizabeth Arden cosmetics,1927
None,Adolph de Meyer,Advertisement for Elizabeth Arden cosmetics,1927
None,Adolph de Meyer,Advertisement for Elizabeth Arden cosmetics,1927
None,Adolph de Meyer,Advertisement for Elizabeth Arden cosmetics,1927
None,Adrien Dax,Untitled,1960
None,Adrien Dax,Untitled,1962
None,Afro,Cronaca (Autobiographia),1953
None,Afro,Untitled,1955
None,Afro,Composition,1956
None,Afro,Composition,1957
None,Afro,L'uccello Di Fuoco,1957
None,Afro,Untitled,1957
None,Afro,Untitled,1958
None,Afro,"Nero, verde, azzurro",1960
None,Afro,Untitled (Composition),1960
None,Afro,Untitled,1961
None,Afro,Untitled,1962
None,Afro,Untitled,1962
None,Afro,Il pendolo,1963
None,Afro,L'approdo,1963
None,Afro,Porto delle galere,1964
None,Afro,Untitled,1964
None,Afro,Composition,1965
None,Afro,Torneo,1965
None,Afro,Composizione arancione,1966
None,Afro,La sella,1967
None,Afro,Merida,1967
None,Afro,Composition,1968
None,Afro,Untitled,1969
None,Afro,Untitled,1973
None,Afro,Controcanto,1974
None,Afro,Lunario,1974
None,Afro,Santarossa,1974
None,Afro,Abstract Composition,1975
None,Agnes Lawrence Pelton,Vine Wood,1913
None,Agnes Lawrence Pelton,Vine Wood,1913
None,Agnes Lawrence Pelton,Incarnation,1929
None,Agnes Lawrence Pelton,Radiance,1929
None,Agnes Lawrence Pelton,Incarnation,1929
None,Agnes Lawrence Pelton,Radiance,1929
None,Agnes Lawrence Pelton,Even Song,1930
None,Agnes Lawrence Pelton,Fire Sounds,1930
None,Agnes Lawrence Pelton,The Voice,1930
None,Agnes Lawrence Pelton,Even Song,1930
None,Agnes Lawrence Pelton,Fire Sounds,1930
None,Agnes Lawrence Pelton,The Voice,1930
None,Agnes Lawrence Pelton,Untitled,1931
None,Agnes Lawrence Pelton,Untitled,1931
None,Agnes Lawrence Pelton,Mount of Flame,1932
None,Agnes Lawrence Pelton,Sand Storm,1932
None,Agnes Lawrence Pelton,Mount of Flame,1932
None,Agnes Lawrence Pelton,Sand Storm,1932
None,Agnes Lawrence Pelton,Memory,1937
None,Agnes Lawrence Pelton,Memory,1937
None,Agnes Lawrence Pelton,Challenge,1940
None,Agnes Lawrence Pelton,Challenge,1940
None,Agnes Lawrence Pelton,Spring Moon,1942
None,Agnes Lawrence Pelton,Spring Moon,1942
None,Agnes Lawrence Pelton,Awakening (Memory of Father),1943
None,Agnes Lawrence Pelton,Future,1943
None,Agnes Lawrence Pelton,Awakening (Memory of Father),1943
None,Agnes Lawrence Pelton,Future,1943
None,Agnes Lawrence Pelton,Ascent (aka Liberation),1946
None,Agnes Lawrence Pelton,Ascent (aka Liberation),1946
None,Agnes Lawrence Pelton,Light Center,1961
None,Agnes Lawrence Pelton,Light Center,1961
None,Agnes Martin,Desert Rain,1957
None,Agnes Martin,Desert Rain,1957
None,Agnes Martin,Untitled,1959
None,Agnes Martin,Untitled,1959
None,Agnes Martin,Homage to Greece,1959
None,Agnes Martin,Untitled,1959
None,Agnes Martin,Untitled,1959
None,Agnes Martin,Homage to Greece,1959
None,Agnes Martin,This Rain,1960
None,Agnes Martin,Rain (Study),1960
None,Agnes Martin,White Flower,1960
None,Agnes Martin,Aspiration,1960
None,Agnes Martin,This Rain,1960
None,Agnes Martin,Rain (Study),1960
None,Agnes Martin,White Flower,1960
None,Agnes Martin,Aspiration,1960
None,Agnes Martin,Untitled (White Flower),1961
None,Agnes Martin,Drops,1961
None,Agnes Martin,"The Islands, ",1961
None,Agnes Martin,Untitled (White Flower),1961
None,Agnes Martin,Drops,1961
None,Agnes Martin,Tremolo,1962
None,Agnes Martin,Morning Star,1962
None,Agnes Martin,Tremolo,1962
None,Agnes Martin,Morning Star,1962
None,Agnes Martin,Stars,1963
None,Agnes Martin,Night Sea,1963
None,Agnes Martin,Falling Blue,1963
None,Agnes Martin,Untitled,1963
None,Agnes Martin,Stars,1963
None,Agnes Martin,Night Sea,1963
None,Agnes Martin,Falling Blue,1963
None,Agnes Martin,Untitled,1963
None,Agnes Martin,Red Bird,1964
None,Agnes Martin,The Tree,1964
None,Agnes Martin,The Peach,1964
None,Agnes Martin,Petal,1964
None,Agnes Martin,Red Bird,1964
None,Agnes Martin,The Tree,1964
None,Agnes Martin,The Peach,1964
None,Agnes Martin,Petal,1964
None,Agnes Martin,The Harvest,1965
None,Agnes Martin,The Desert,1965
None,Agnes Martin,Untitled,1965
None,Agnes Martin,The Harvest,1965
None,Agnes Martin,The Desert,1965
None,Agnes Martin,Untitled,1965
None,Agnes Martin,Mountain I,1966
None,Agnes Martin,Mountain I,1966
None,Agnes Martin,Happy Valley,1967
None,Agnes Martin,Happy Valley,1967
None,Agnes Martin,"On a clear day, #2",1973
None,Agnes Martin,"On a clear day, #1",1973
None,Agnes Martin,"On a clear day, #2",1973
None,Agnes Martin,"On a clear day, #1",1973
None,Agnes Martin,Untitled Number 5,1975
None,Agnes Martin,Untitled #0,1975
None,Agnes Martin,Untitled #13,1975
None,Agnes Martin,Untitled Number 5,1975
None,Agnes Martin,Untitled #0,1975
None,Agnes Martin,Untitled #13,1975
None,Agnes Martin,Praise,1976
None,Agnes Martin,Praise,1976
None,Agnes Martin,Untitled,1977
None,Agnes Martin,Untitled,1977
None,Agnes Martin,Untitled,1977
None,Agnes Martin,Untitled,1977
None,Agnes Martin,Untitled,1977
None,Agnes Martin,Untitled,1977
None,Agnes Martin,Untitled,1977
None,Agnes Martin,Untitled,1977
None,Agnes Martin,Untitled,1978
None,Agnes Martin,Untitled,1978
None,Agnes Martin,Untitled,1978
None,Agnes Martin,Untitled,1978
None,Agnes Martin,The Islands,1979
None,Agnes Martin,The Islands,1979
None,Agnes Martin,Untitled #6,1980
None,Agnes Martin,Untitled,1980
None,Agnes Martin,Untitled #6,1980
None,Agnes Martin,Untitled,1980
None,Agnes Martin,Untitled No. 1,1981
None,Agnes Martin,Untitled No. 1,1981
None,Agnes Martin,Untitled #4,1989
None,Agnes Martin,Untitled #4,1989
None,Agnes Martin,Untitled,1994
None,Agnes Martin,Untitled,1994
None,Agnes Martin,Untitled #15 (Peace),1996
None,Agnes Martin,Untitled #15 (Peace),1996
None,Agnes Martin,With My Back to the World,1997
None,Agnes Martin,With My Back to the World,1997
None,Agnes Martin,Untitled,1998
None,Agnes Martin,Untitled,1998
None,Agnes Martin,Happy Holiday,1999
None,Agnes Martin,Happy Holiday,1999
None,Agostino Bonalumi,Rosa,1964
None,Agostino Bonalumi,Bianco,1965
None,Agostino Bonalumi,Grigio,1965
None,Agostino Bonalumi,Bianco,1966
None,Agostino Bonalumi,Giallo,1966
None,Agostino Bonalumi,Nero,1967
None,Agostino Bonalumi,Nero,1968
None,Agostino Bonalumi,Rosso ,1968
None,Agostino Bonalumi,Untitled,1968
None,Agostino Bonalumi,Bianco,1970
None,Agostino Bonalumi,Blu,1970
None,Agostino Bonalumi,Blu,1971
None,Agostino Bonalumi,Blu,1971
None,Agostino Bonalumi,Blu,1972
None,Agostino Bonalumi,Blu,1973
None,Agostino Bonalumi,Giallo,1973
None,Agostino Bonalumi,Rosso,1974
None,Agostino Bonalumi,Rosso,1975
None,Agostino Bonalumi,Bianco,1976
None,Agostino Bonalumi,Giallo,1978
None,Agostino Bonalumi,Rosso,1979
None,Agostino Bonalumi,Verde,1985
