Country,Artist_Name,Artwork_Name,Year
Australian,Charles Blackman,Prelude to Alice ,1955
Australian,Charles Blackman,Schoolgirl ,1955
Australian,Charles Blackman,Dreaming Flowers ,1955
Australian,Charles Blackman,Girl at a Table ,1955
Australian,Charles Blackman,Windmill ,1955
Australian,Charles Blackman,Alice among the trees ,1956
Australian,Charles Blackman,THE GAME OF CHESS,1956
Australian,Charles Blackman,Curiouser and curiouser ,1956
Australian,Charles Blackman,Drink me ,1956
Australian,Charles Blackman,Drink me ,1956
Australian,Charles Blackman,Feet beneath the table ,1956
Australian,Charles Blackman,HE WHITE TABLECLOTH ,1956
Australian,Charles Blackman,Barbara at the Table ,1956
Australian,Charles Blackman,Alice's journey ,1957
Australian,Charles Blackman,Alice Phoenix ,1957
Australian,Charles Blackman,Face ,1957
Australian,Charles Blackman,The Suitor  ,1958
Australian,Charles Blackman,Barbara ,1960
Australian,Charles Blackman,Catherine Over Sienna ,1960
Australian,Charles Blackman,Gymkhana Visitors ,1961
Australian,Charles Blackman,Blue Girl ,1961
Australian,Charles Blackman,Black Girl with Friend ,1961
Australian,Charles Blackman,Check Cloth ,1961
Australian,Charles Blackman,Double Image ,1961
Australian,Charles Blackman,Girl on Park Bench ,1961
Australian,Charles Blackman,Mother and Daughter ,1961
Australian,Charles Blackman,Parade ,1961
Australian,Charles Blackman,Room at Twilight,1963
Australian,Charles Blackman,An Illusion of Children ,1964
Australian,Charles Blackman,The Dancer ,1965
Australian,Charles Blackman,The Summer Field,1965
Australian,Charles Blackman,Figure and Flowers  ,1967
Australian,Charles Blackman,Nude and Flowers,1967
Australian,Charles Blackman,Leaping Children ,1968
Australian,Charles Blackman,The Palm ,1968
Australian,Charles Blackman,Girl and Cat,1969
Australian,Charles Blackman,Untitled (Nude with Flowers) ,1971
Australian,Charles Blackman,Yellow Reflections ,1972
Australian,Charles Blackman,Playing Mozart,1972
Australian,Charles Blackman,Japanese prayer,1973
Australian,Charles Blackman,The Crack Up,1973
Australian,Charles Blackman,It is Cheaper to Ride on the Roofs of Taxis Than Inside Them (Scott Floating) ,1973
Australian,Charles Blackman,The Embrace,1975
Australian,Charles Blackman,Pelican feeding,1980
Australian,Charles Blackman,Orpheus. The Harp of Love ,1981
Australian,Charles Blackman,Celestial Figure ,1984
Australian,Charles Blackman,Daffodils in a White Vase ,1985
Australian,Charles Blackman,The book,1986
Australian,Charles Blackman,Breakfast nook,1988
Australian,Dale Hickey,Untitled,1967
Australian,Dale Hickey,Untitled,1968
Australian,Dale Hickey,90 white walls,1970
Australian,Dale Hickey,Cup painting,1973
Australian,Dale Hickey,Cup,1973
Australian,Dale Hickey,Meat Pie,1974
Australian,Dale Hickey,Foyer (Bercy Theatre),1978
Australian,Dale Hickey,Room with Shell Lamp,1978
Australian,Dale Hickey,Cottlesbridge Landscape,1979
Australian,Dale Hickey,Cottlesbridge Landscape,1980
Australian,Dale Hickey,Studio Interior,1987
Australian,Dale Hickey,Blue Table,1992
Australian,Dale Hickey,Four Red Symbols,1993
Australian,David Davies,Autumn afternoon ,1926
Australian,Denise Green,Bridge # 2,1975
Australian,Denise Green,Chair,1976
Australian,Denise Green,Two Figures,1976
Australian,Denise Green,To Draw On,1977
Australian,Denise Green,Tulipidendron #2,1977
Australian,Denise Green,Untitled Vessel # 10,1977
Australian,Denise Green,Blue Quadrant,1984
Australian,Denise Green,Surya-Chandra #1,1986
Australian,Denise Green,Cos Cob,1987
Australian,Denise Green,Forces at Play,1989
Australian,Denise Green,Blu Lascaux,1999
Australian,Ethel Carrick,Portrait of Rose Levy,1906
Australian,Ethel Carrick,Marche aux fleurs Ã  Venise,1907
Australian,Ethel Carrick,The Spanish Courtyard,1907
Australian,Ethel Carrick,French Flower Market,1909
Australian,Ethel Carrick,In the Luxembourg Gardens,1909
Australian,Ethel Carrick,"Loves Me, Loves Me Not",1909
Australian,Ethel Carrick,Children and Nurses,1910
Australian,Ethel Carrick,The Quay at Dinard,1911
Australian,Ethel Carrick,La marÃ©e haute a Saint-MalÃ´ (High tide at St MalÃ´),1912
Australian,Ethel Carrick,"Manly Beach, Summer is Here",1913
Australian,Ethel Carrick,"Flower market, Nice",1925
Australian,Fred Williams,Sapling Forest,1958
