Country,Artist_Name,Artwork_Name,Year
Jewish,Charlotte Posenenske,Untitled,1962
Jewish,Charlotte Posenenske,Untitled,1962
Jewish,Charlotte Posenenske,Sprayed Picture,1964
Jewish,Charlotte Posenenske,Fold,1965
Jewish,Charlotte Posenenske,Sprayed Picture,1965
Jewish,Charlotte Posenenske,Sprayed Picture,1965
Jewish,Charlotte Posenenske,Striped Picture,1965
Jewish,Charlotte Posenenske,Striped Picture,1965
Jewish,Charlotte Posenenske,Fold,1966
Jewish,Charlotte Posenenske,Fold,1966
Jewish,Charlotte Posenenske,Fold,1966
Jewish,Charlotte Posenenske,Three-Dimensional Picture (diagonal folding),1966
Jewish,Charlotte Posenenske,"Relief, Series B",1967
Jewish,Charlotte Posenenske,"Relief, Series B",1967
Jewish,Charlotte Posenenske,"Relief, Series B",1967
Jewish,Charlotte Posenenske,"Relief, Series B",1967
Jewish,Charlotte Posenenske,Series DW,1967
Jewish,Charlotte Posenenske,Square Tubes [Series D],1967
Jewish,Charlotte Posenenske,Square Tubes [Series D],1967
Jewish,Charlotte Posenenske,Prototype for Revolving Vane,1968
Jewish,Daniel Spoerri,Snare Picture,1960
Jewish,Daniel Spoerri,Poubelle (Palimdromic Dinner),1961
Jewish,Daniel Spoerri,The Boxes (Snare-Picture),1961
Jewish,Daniel Spoerri,La jungle,1961
Jewish,Daniel Spoerri,Eaten by Marcel Duchamp,1964
Jewish,Daniel Spoerri,Meal Variation - Eaten By Roy Lichtenstein,1964
Jewish,Daniel Spoerri,Table du restaurant de la City Gallery,1965
Jewish,Daniel Spoerri,Cage d'oiseau,1969
Jewish,Daniel Spoerri,Brotteigobjekt Schreibmaschine,1970
Jewish,Daniel Spoerri,Snare Picture,1972
Jewish,Daniel Spoerri,Erpete Squamoso Orbiculare,1986
Jewish,Daniel Spoerri,Ethno-syncretic object,1986
Jewish,Daniel Spoerri,Untitled,1988
Jewish,Daniel Spoerri,Large work table (Marcel Duchamp remis en place),1989
Jewish,Daniel Spoerri,Assemblage mit dem Kopf eines Pferdes,1990
Jewish,Daniel Spoerri,Henkel Bankett,1990
