"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Jammu_&_Kashmir",4,"S09|79","AKHNOOR","GEN","JAMMU","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|8","SOPORE","GEN","BARAMULLA","KASHMIR","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|80","CHHAMB","GEN","JAMMU","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|81","NOWSHERA","GEN","RAJOURI","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|82","DARHAL","GEN","RAJOURI","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|83","RAJOURI","GEN","RAJOURI","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|84","KALA KOTE","GEN","RAJOURI","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|85","SURANKOTE","GEN","POONCH","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|86","MENDHAR","GEN","POONCH","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|87","POONCH HAVELI","GEN","POONCH","JAMMU","Team3 ELM"
"Jammu_&_Kashmir",4,"S09|9","GUREZ","GEN","BANDIPORA","KASHMIR","Team3 ELM"
