"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Madras",1967,143,"VADAMADURAI","GEN","V.S. LAKSHMANAN","DMK",28651,2,46.13
"Madras",1967,143,"VADAMADURAI","GEN","S.P. PILLAI","IND",1656,3,2.67
"Madras",1967,143,"VADAMADURAI","GEN","K.A. GOUNDER","IND",1301,4,2.09
"Madras",1967,144,"DINDIGUL","GEN","A.BALASUBRAMANAYAM","CPM",42381,1,58.93
"Madras",1967,144,"DINDIGUL","GEN","O.C.PILLAI","INC",29537,2,41.07
"Madras",1967,145,"ATHOOR","GEN","V.S.S.MANICHETTIAR","DMK",37879,1,50.7
"Madras",1967,145,"ATHOOR","GEN","R.R.REDDIAR","INC",36124,2,48.36
"Madras",1967,145,"ATHOOR","GEN","P.V.THEVAR","IND",702,3,0.94
"Madras",1967,146,"VEDASANDUR","GEN","N.VARADARAJ","CPM",30063,1,48.16
"Madras",1967,146,"VEDASANDUR","GEN","S.N.RAO","INC",29372,2,47.05
"Madras",1967,146,"VEDASANDUR","GEN","T.P.GOWDER","IND",1912,3,3.06
"Madras",1967,146,"VEDASANDUR","GEN","M.M.RAMASAMY","IND",1079,4,1.73
"Madras",1967,147,"ARAVAKURICHI","GEN","S.K.GOUNDER","SWA",46614,1,67.46
"Madras",1967,147,"ARAVAKURICHI","GEN","V.P.GOUNDER","INC",22482,2,32.54
"Madras",1967,148,"KARUR","GEN","T.M.NALLASWAMY","INC",33552,1,44.95
"Madras",1967,148,"KARUR","GEN","S.NALLASWAMY","CPM",28677,2,38.42
"Madras",1967,148,"KARUR","GEN","K.S.RAMASAMY","CPI",11846,3,15.87
"Madras",1967,148,"KARUR","GEN","V.K.VELSAMY","IND",573,4,0.77
"Madras",1967,149,"THOTTIYAM","GEN","VADIVEL","DMK",39701,1,53.94
"Madras",1967,149,"THOTTIYAM","GEN","T.VEERAPPAN","INC",29670,2,40.31
"Madras",1967,149,"THOTTIYAM","GEN","R.P.REDDIAR","IND",3173,3,4.31
"Madras",1967,149,"THOTTIYAM","GEN","K.KANDASAMY","IND",1064,4,1.45
"Madras",1967,150,"MUSIRI","GEN","MUTHUSELVAN","DMK",32615,1,51.48
