	Countries	Value	Parent	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015
60	Fiji	18270.0	World	288.993	334.976	393.383	463.884	520.529	576.592	635.256	711.663	728.339	775.587	811.647	822.484	860.559	892.727
61	Finland	338420.0	World	4008.299	4235.423	4430.228	4564.69	4606.74	4711.459	4779.454	4902.219	4986.705	5108.176	5176.482	5246.368	5367.693	5460.592
62	France	549087.0	World	41831.805	43372.283	45698.64	48873.531	50703.897	52790.52	53941.252	55414.446	56845.705	58008.958	59213.096	61444.972	63230.866	64982.894
63	French Polynesia	4000.0	World	60.268	68.849	78.083	93.44	110.496	130.619	151.702	175.208	198.37	215.2	237.267	254.884	268.065	282.764
64	Gabon	267670.0	World	473.3	482.411	498.823	531.901	589.165	648.174	726.454	826.025	946.703	1080.477	1225.527	1379.465	1556.222	1751.199
65	Georgia	69700.0	World	3527.004	3839.464	4159.769	4477.328	4707.327	4908.265	5073.241	5287.328	5460.309	5067.143	4743.591	4475.306	4388.674	4304.54
66	Germany	357170.0	World	70093.817	71654.845	73336.145	76654.787	79287.238	79718.764	79169.102	78896.434	80487.159	83147.77	83512.459	83835.978	83017.404	82562.004
67	Ghana	238540.0	World	4980.878	5680.556	6652.516	7710.761	8597.133	9831.636	10802.497	12716.887	14628.693	16760.926	18825.034	21384.034	24262.901	26984.328
68	Greece	131960.0	World	7566.002	7965.998	8333.499	8551.005	8793.002	9046.544	9642.504	9934.292	10160.501	10671.809	10986.883	11041.642	11109.999	11125.833
69	Greenland	410450.0	World	22.998	25.845	31.238	37.963	46.075	49.582	50.176	53.189	55.603	55.809	56.174	56.953	56.546	57.275
70	Grenada	340.0	World	76.676	81.028	89.861	94.579	94.43	92.453	89.004	99.907	96.286	100.253	101.62	102.951	104.677	106.694
71	Guam	540.0	World	59.65	62.645	66.741	74.827	83.88	93.354	104.131	116.576	130.482	145.562	155.328	158.401	159.44	169.885
72	Guatemala	108890.0	World	3146.073	3619.111	4140.636	4735.961	5415.616	6194.218	7001.101	7919.874	8890.329	9983.861	11204.183	12678.919	14341.576	16255.094
73	Guinea	245860.0	World	3093.651	3316.283	3576.684	3875.205	4209.201	4350.256	4495.479	5067.026	6020.113	7837.173	8746.128	9576.331	10876.033	12347.766
74	Guinea-Bissau	36130.0	World	518.171	588.815	635.956	659.368	682.966	778.096	818.28	910.336	1017.385	1139.667	1273.312	1421.515	1586.624	1787.793
75	Guyana	214970.0	World	406.562	483.376	560.296	640.541	720.816	748.877	776.927	751.72	725.043	728.136	744.471	760.834	786.126	807.611
76	Haiti	27750.0	World	3221.277	3516.213	3869.288	4275.135	4713.134	5143.815	5691.941	6389.424	7110.116	7838.241	8578.234	9260.879	9896.4	10603.731
77	Honduras	112490.0	World	1487.235	1717.045	2002.333	2352.637	2691.309	3107.735	3635.862	4237.518	4903.694	5591.935	6235.561	6898.825	7621.204	8423.917
78	Hungary	93030.0	World	9337.723	9828.971	10001.27	10170.472	10345.553	10541.344	10759.022	10572.975	10385.061	10351.994	10224.113	10095.964	10014.633	9911.396
79	Iceland	103000.0	World	142.656	157.584	175.52	192.251	204.392	217.958	228.127	241.411	254.83	267.454	281.214	296.745	318.042	336.728
80	India	3287260.0	World	376325.205	408973.604	449595.489	497952.332	555199.768	622232.355	698965.575	781736.502	868890.7	955804.355	1042261.758	1127143.548	1205624.648	1282390.303
81	Indonesia	1910930.0	World	72592.192	79158.539	88692.697	100329.81	114066.887	129210.098	145494.452	162458.871	178633.239	194112.556	208938.698	224480.901	240676.485	255708.785
82	Iraq	435240.0	World	5719.191	6502.655	7289.759	8375.791	9917.982	11684.585	13653.358	15576.396	17517.521	20363.138	23801.156	27377.045	30962.38	35766.702
83	Ireland	70280.0	World	2913.093	2901.138	2828.866	2874.705	2963.004	3183.722	3417.754	3534.064	3531.185	3610.918	3803.741	4158.002	4467.561	4726.856
84	Isle of Man	570.0	World	55.253	52.409	48.441	50.713	56.712	60.941	65.108	64.446	70.312	72.181	76.806	80.345	83.992	87.052
85	Israel	22070.0	World	1257.971	1718.955	2089.891	2522.53	2849.623	3336.76	3744.667	4082.781	4499.161	5331.622	6013.711	6603.677	7420.368	7919.528
86	Italy	301340.0	World	46366.767	48131.629	49519.365	51453.438	53324.406	55094.929	56220.606	56771.711	56831.853	56967.071	56986.085	58671.855	60508.978	61142.221
87	Jamaica	10990.0	World	1402.896	1541.711	1628.997	1760.27	1868.826	2011.974	2132.281	2297.237	2365.211	2462.051	2582.219	2682.149	2741.485	2813.276
88	Japan	377962.0	World	82199.47	88389.994	92500.754	97341.852	103707.537	110804.519	115912.104	119988.663	122249.285	124483.305	125714.674	126978.754	127352.833	126818.019
89	Jordan	89320.0	World	448.861	645.724	888.632	1119.798	1654.769	1985.121	2280.67	2782.885	3358.453	4320.158	4767.476	5239.417	6454.554	7689.76
90	Kazakhstan	2724902.0	World	6702.996	7683.837	9714.26	11588.87	12757.245	13756.789	14518.924	15403.006	16171.9	15549.632	14575.644	15064.088	15921.127	16770.447
91	Kenya	580370.0	World	6076.757	6979.939	8105.44	9504.702	11252.466	13486.241	16267.906	19660.018	23446.439	27418.077	31285.05	35785.718	40909.194	46748.617
92	Kiribati	810.0	World	26.1	28.949	32.97	37.881	43.86	48.404	54.51	62.145	71.04	76.378	82.788	90.468	97.743	105.555
93	Kuwait	17820.0	World	152.249	194.811	261.994	482.247	750.423	1049.988	1371.494	1730.441	2059.774	1586.123	1906.231	2296.314	2991.58	3583.399
94	Latvia	64490.0	World	1949.0	2015.009	2132.368	2261.259	2365.753	2457.027	2513.397	2582.079	2663.985	2487.988	2371.481	2227.559	2090.519	2031.361
95	Lebanon	10450.0	World	1334.618	1532.111	1804.927	2092.354	2297.403	2575.693	2605.294	2676.593	2703.019	3033.406	3235.38	3986.865	4341.092	5053.624
96	Lesotho	30360.0	World	733.942	787.76	851.412	933.251	1032.24	1149.09	1307.403	1467.856	1597.534	1753.824	1856.225	1925.844	2008.921	2120.116
97	Liberia	111370.0	World	930.026	1010.064	1120.314	1252.968	1419.728	1628.656	1892.529	2197.442	2102.877	2079.921	2891.968	3269.786	3957.99	4503.439
98	Libya	1759540.0	World	1113.382	1227.845	1428.435	1711.637	2075.651	2531.982	3078.255	3738.814	4259.811	4747.619	5176.185	5594.45	6040.612	6317.08
99	Liechtenstein	160.0	World	13.757	14.829	16.504	18.647	21.266	23.435	25.869	27.259	28.745	30.824	33.093	34.74	36.12	37.461
100	Lithuania	65300.0	World	2567.402	2629.571	2770.737	2966.947	3137.373	3299.819	3431.933	3563.741	3697.393	3628.079	3498.446	3286.782	3068.457	2998.969
