Country,Artist_Name,Artwork_Name,Year
American,Alfred Jensen,Spanish Door Design Purple,1959
American,Alfred Jensen,A Perfect Equal Area I,1960
American,Alfred Jensen,Magic 14,1960
American,Alfred Jensen,The Apex is Nothing,1960
American,Alfred Jensen,The Great Mystery II,1960
American,Alfred Jensen,Untitled,1960
American,Alfred Jensen,A World in Itself,1961
American,Alfred Jensen,An Influence of the Earth's Motion on Optical Phenomena,1961
American,Alfred Jensen,Untitled,1961
American,Alfred Jensen,Systole And Diastole,1962
American,Alfred Jensen,Divine Analogy 4,1963
American,Alfred Jensen,"Honor Pythagoras, Per I--Per VI",1964
American,Alfred Jensen,The Pythagorean Theorem,1964
American,Alfred Jensen,Timaeus III and IV,1966
American,Alfred Jensen,"The Acrobatic Rectangle, Per Eleven",1967
American,Alfred Jensen,"The Acrobatic Rectangle, Per Six",1967
American,Alfred Jensen,"The Sun Rises Twice, Per 3, Per 4",1973
American,Alfred Jensen,"Coordinative Thinking on the Square and Rectangle; Per, IV",1974
American,Alfred Jensen,Solar Energy Optics,1975
American,Alfred Jensen,Twelve Events in a Dual Universe,1978
American,Alfred Jensen,"Remote Sensing, Per I & II",1979
American,Alfred Stieglitz,"Spring Showers, The Coach",1902
American,Alfred Stieglitz,The Hand of Man,1902
American,Alfred Stieglitz,The Flatiron Building,1903
American,Alfred Stieglitz,Going to the Start,1905
American,Alfred Stieglitz,Katherine,1905
American,Alfred Stieglitz,Miss S.R.,1905
American,Alfred Stieglitz,The Steerage,1907
American,Alfred Stieglitz,Old and New New York,1910
American,Alfred Stieglitz,The Dirigible,1910
American,Alfred Stieglitz,Georgia O'Keeffe,1920
American,Alice Aycock,Sand-Fans,1971
American,Alice Aycock,Maze,1972
American,Alice Aycock,Stairs (These Stairs Can Be Climbed),1974
American,Alice Aycock,A Simple Network of Underground Wells and Tunnels,1975
American,Alice Aycock,"Project Entitled ""Studies for a Town""""""",1977
American,Alice Aycock,How To Catch and Manufacture Ghosts,1981
American,Alice Aycock,The Thousand and One Nights in the Mansion of Bliss,1983
American,Alice Aycock,"The New China Drawing: The World Above, The World Below",1984
American,Alice Aycock,Three-fold Manifestation II,1987
American,Alice Aycock,Waterworks,1993
American,Alice Baber,"Red, Yellow and Blue",1960
American,Alice Baber,Before Songs,1962
American,Alice Baber,Noble Numbers,1965
American,Alice Baber,Piper's Near,1965
American,Alice Baber,Red Passage,1966
American,Alice Baber,Seven Green Leagues,1967
American,Alice Baber,Lavender High,1968
American,Alice Baber,Through Sleep to Orange,1968
American,Alice Baber,Abstract Composition,1969
American,Alice Baber,Abstract Composition,1969
American,Alice Baber,Golden Center in the Ladder,1970
American,Alice Baber,Wheel of Day,1971
American,Alice Baber,The Light in the Depths,1975
American,Alice Baber,Lord of the Rainbow,1976
American,Alice Baber,Music of the Jaguar,1977
American,Alice Baber,The Way of the Wind,1977
American,Alice Baber,Night of the Res Wind,1978
American,Alice Neel,Well Baby Clinic,1928
American,Alice Neel,Ethel Ashton,1930
American,Alice Neel,Kenneth Dolittle,1931
American,Alice Neel,Joe Gould,1933
American,Alice Neel,The Sea,1947
American,Alice Neel,Phyllis Rubin,1952
American,Alice Neel,"Robert, Helen and Ed",1952
American,Alice Neel,Richard Gibbs,1954
American,Alice Neel,Dominican Boys on 108th Street,1955
American,Alice Neel,Sherry Speeth,1964
American,Alice Neel,Mary Shoemaker,1965
American,Alice Neel,Windows (no. 2),1965
American,Alice Neel,Harold and Nina Krieger,1967
American,Alice Neel,Still Life Spring Lake,1969
American,Alice Neel,Andy Warhol,1970
American,Alice Neel,Hartley & Ginny,1970
American,Alice Neel,"The Family (John Gruen, Jane Wilson and Julia)",1970
American,Alice Neel,Dana Gordon,1972
American,Alice Neel,Kitty Pearson,1973
American,Alice Neel,Stephen Herbert,1977
American,Alice Neel,Andrew,1978
American,Alison Knowles,Room (with George Brecht),1960
American,Alison Knowles,Make a Salad,1962
American,Alison Knowles,Bean Rolls,1964
American,Alison Knowles,"Music by Alison, performed during Fully Guaranteed 12 Fluxus Concerts, New York, May 23, 1964",1964
American,Alison Knowles,by Alison Knowles,1965
American,Alison Knowles,George Maciunas Performs The Identical Lunch,1969
American,Alison Knowles,Bean Bag,1978
American,Alison Knowles,The Giant Bean Turner,1995
American,Allan McCollum,Surrogate Painting [No. 783],1978
American,Allan McCollum,Surrogate Painting,1979
American,Allan McCollum,Collection of Forty Plaster Surrogates,1982
American,Allan McCollum,Five Colored Surrogates,1987
American,Allan McCollum,120 Plaster Surrogates,1988
American,Allan McCollum,The Event: Petrified Lightning from Central Florida (with Supplemental Didactics),1997
American,Allan McCollum,Parable,1999
American,Allen Ruppersberg,Untitled (Aquarium),1969
American,Allen Ruppersberg,Al's Grand Hotel,1971
American,Allen Ruppersberg,Where's Al?,1972
American,Allen Ruppersberg,Screamed from Life,1982
American,Allen Ruppersberg,Still Life,1982
American,Allen Ruppersberg,Preview Suite,1988
American,Allen Ruppersberg,What Should I Do?,1988
American,Allen Ruppersberg,Why Is Everything The Same? (Poster Objects),1991
American,Alma Woodsey Thomas,The Stormy Sea,1958
American,Alma Woodsey Thomas,Red Abstraction,1960
American,Alma Woodsey Thomas,Watusi (Hard Edge),1963
American,Alma Woodsey Thomas,Air View of a Spring Nursery,1966
American,Alma Woodsey Thomas,Ressurection,1966
American,Alma Woodsey Thomas,A Glimpse of Mars,1969
American,Alma Woodsey Thomas,"Iris, Tulips, Jonquils, and Crocuses",1969
American,Alma Woodsey Thomas,Atmospheric Effects I,1970
American,Alma Woodsey Thomas,New Galaxy,1970
American,Alma Woodsey Thomas,Red Violet Nursery Viewed from Above,1970
American,Alma Woodsey Thomas,Snoopy Sees Earth Wrapped in Sunset,1970
American,Alma Woodsey Thomas,Untitled (Floral Abstraction),1970
American,Alma Woodsey Thomas,"Earth Sermon, Beauty, Love And Peace",1971
American,Alma Woodsey Thomas,Springtime in Washington,1971
American,Alma Woodsey Thomas,Atmospheric Effects II,1972
American,Alma Woodsey Thomas,Evening Glow,1972
American,Alma Woodsey Thomas,Late Night Reflections,1972
