"Year","PC_Name","PC_No","PC_Type","AC_Name","AC_No","AC_Type","CandID","Cand","Party","Votes_In_AC","State_Name"
2004,"PARVATHIPURAM",2,"ST","Patapatnam",6,"GEN",3,"UOOYAKA MUTYALU","IND",1114,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Kothuru",7,"GEN",4,"ARIKA GUMPASWAMY","IND",1569,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Kothuru",7,"GEN",2,"DADICHILUKA VEERA GOURI S","TDP",43677,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Kothuru",7,"GEN",3,"UOOYAKA MUTYALU","IND",1530,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Kothuru",7,"GEN",1,"KISHORE CHANDRA SURYANA","INC",48090,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Naguru",8,"GEN",2,"DADICHILUKA VEERA GOURI S","TDP",34909,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Naguru",8,"GEN",3,"UOOYAKA MUTYALU","IND",4984,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Naguru",8,"GEN",4,"ARIKA GUMPASWAMY","IND",2912,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Naguru",8,"GEN",1,"KISHORE CHANDRA SURYANA","INC",50545,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Parvathipuram",9,"GEN",4,"ARIKA GUMPASWAMY","IND",1240,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Parvathipuram",9,"GEN",1,"KISHORE CHANDRA SURYANA","INC",50839,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Parvathipuram",9,"GEN",3,"UOOYAKA MUTYALU","IND",2488,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Parvathipuram",9,"GEN",2,"DADICHILUKA VEERA GOURI S","TDP",44285,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Salur",10,"GEN",3,"UOOYAKA MUTYALU","IND",1663,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Salur",10,"GEN",4,"ARIKA GUMPASWAMY","IND",1265,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Salur",10,"GEN",1,"KISHORE CHANDRA SURYANA","INC",45565,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Salur",10,"GEN",2,"DADICHILUKA VEERA GOURI S","TDP",46028,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Vunukuru",13,"GEN",3,"UOOYAKA MUTYALU","IND",1172,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Vunukuru",13,"GEN",4,"ARIKA GUMPASWAMY","IND",1358,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Vunukuru",13,"GEN",2,"DADICHILUKA VEERA GOURI S","TDP",59513,"Andhara_Pradesh"
