"State_Name","PC_No","AC_No","PC_Name","PC_Type","AC_Name","AC_Type"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
"Andhara_Pradesh",2,4,"Peddapalle","SC","Mancherial","GEN"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,22,"Peddapalle","SC","Dharmapuri","SC"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,23,"Peddapalle","SC","Ramagundam","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,24,"Peddapalle","SC","Manthani","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",2,25,"Peddapalle","SC","Peddapalle","GEN"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
